,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.8816683292388916,0.684,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.6588330268859863,0.6984,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.5509860515594482,0.684,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.2443149089813232,0.6872,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.8302855491638184,0.674,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.317004442214966,0.6712,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.569352626800537,0.6792,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.9682817459106445,0.6784,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.3686158657073975,0.6704,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.510671377182007,0.6816,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.6805601119995117,0.67,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.9098057746887207,0.6796,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.5414347648620605,0.6716,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.1924188137054443,0.6576,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.084165334701538,0.6728,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.892030954360962,0.67,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.8846926689147949,0.6576,n_estimator
17,17.0,17.0,17.0,17.0,0.0,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.1206812858581543,0.6892,depth
18,18.0,18.0,18.0,0.0,,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.0892331600189209,0.7,l_rate
19,19.0,19.0,0.0,,,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.09973311424255372,0.696,reg_lambda
20,20.0,0.0,,,,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.08876299858093263,0.6916,subsample
21,0.0,,,,,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.10172533988952637,0.6912,colsample_bytree
0,,,,,,,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.0997319221496582,0.6948,scale_pos_weight
