,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.5510513782501221,0.6936
1,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.2981493473052979,0.68
2,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.231295347213745,0.662
3,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.63470458984375,0.674
4,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.502102375030518,0.6532
5,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.194493770599365,0.658
6,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.147836923599243,0.6684
7,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.4017179012298584,0.6636
8,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.84654974937439,0.6592
9,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},9.0975661277771,0.6564
10,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.01214075088501,0.66
11,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.918919801712036,0.6512
12,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.9458091259002686,0.6568
13,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.232715129852295,0.6476
14,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.323988676071167,0.6412
15,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.130561351776123,0.6472
16,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.9665241241455078,0.6532
