,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,0.33371663093566895,0.72
1,40,4,0.4,4,0.8,0.6,1.5,0.5135970115661621,0.6
2,70,4,0.4,4,0.8,0.6,1.5,1.745152235031128,0.68
3,100,4,0.4,4,0.8,0.6,1.5,2.688572406768799,0.56
4,130,4,0.4,4,0.8,0.6,1.5,4.514053583145142,0.68
5,160,4,0.4,4,0.8,0.6,1.5,7.19855809211731,0.6
6,190,4,0.4,4,0.8,0.6,1.5,8.886457920074463,0.6
7,220,4,0.4,4,0.8,0.6,1.5,2.626330614089966,0.72
8,250,4,0.4,4,0.8,0.6,1.5,9.586216449737549,0.72
9,280,4,0.4,4,0.8,0.6,1.5,9.244271039962769,0.72
10,310,4,0.4,4,0.8,0.6,1.5,8.272634029388428,0.76
11,340,4,0.4,4,0.8,0.6,1.5,6.84997034072876,0.72
12,370,4,0.4,4,0.8,0.6,1.5,3.5990021228790283,0.64
13,400,4,0.4,4,0.8,0.6,1.5,2.4539554119110107,0.64
14,430,4,0.4,4,0.8,0.6,1.5,1.803704023361206,0.64
15,460,4,0.4,4,0.8,0.6,1.5,1.1086242198944092,0.68
16,490,4,0.4,4,0.8,0.6,1.5,0.3620307445526123,0.72
