,C,gamma,kernel,total_time,score
0,1e-05,62874100900.35712,linear,0.01697516441345215,0.824
1,0.021544346900318846,62874100900.35712,rbf,0.04986572265625,0.5
2,46.41588833612782,62874100900.35712,rbf,0.05495166778564453,0.5
3,100000.0,62874100900.35712,rbf,0.05896306037902832,0.5
4,1e-05,59525776.0003381,rbf,0.04886913299560547,0.5
5,0.021544346900318846,59525776.0003381,sigmoid,0.020058155059814453,0.8
6,46.41588833612782,59525776.0003381,linear,0.010968923568725586,0.872
7,100000.0,59525776.0003381,linear,3.473342180252075,0.86
8,1e-05,15350122.29012625,linear,0.007975339889526367,0.752
9,0.021544346900318846,15350122.29012625,rbf,0.038895368576049805,0.74
10,46.41588833612782,15350122.29012625,rbf,0.032912254333496094,0.744
11,100000.0,15350122.29012625,linear,2.368230104446411,0.892
